2026-04-08 17:10:22,337 - ERROR - AKKU | inlineXBRL.zip | https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan/Laporan Keuangan Tahun 2025/Audit/AKKU/inlineXBRL.zip | Server returned 403
2026-04-08 17:10:22,365 - ERROR - AKKU | FinancialStatement-2025-Tahunan-AKKU.xlsx | https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan/Laporan Keuangan Tahun 2025/Audit/AKKU/FinancialStatement-2025-Tahunan-AKKU.xlsx | Server returned 403
2026-04-08 17:18:40,257 - ERROR - IKPM | FinancialStatement-2025-Tahunan-IKPM.xlsx | https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan/Laporan Keuangan Tahun 2025/Audit/IKPM/FinancialStatement-2025-Tahunan-IKPM.xlsx | Server returned 403
2026-04-08 17:28:23,368 - ERROR - GOLF | inlineXBRL.zip | https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan/Laporan Keuangan Tahun 2025/Audit/GOLF/inlineXBRL.zip | Server returned 403
2026-04-08 17:28:26,400 - ERROR - INET | Surat_pengantar_LK_Audited_2025.pdf | https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan/Laporan Keuangan Tahun 2025/Audit/INET/Surat pengantar LK Audited 2025.pdf | Server returned 403
2026-04-08 17:28:28,345 - ERROR - INET | FinancialStatement-2025-Tahunan-INET.xlsx | https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan/Laporan Keuangan Tahun 2025/Audit/INET/FinancialStatement-2025-Tahunan-INET.xlsx | Server returned 403
2026-04-08 17:28:28,560 - ERROR - KONI | Checklist_Pengungkapan_Laporan_Keuangan_2025.pdf | https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan/Laporan Keuangan Tahun 2025/Audit/KONI/Checklist Pengungkapan Laporan Keuangan 2025.pdf | Server returned 403
2026-04-08 17:28:28,865 - ERROR - KONI | Laporan_Keuangan_Tahunan_per_31_Des_2025.pdf | https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan/Laporan Keuangan Tahun 2025/Audit/KONI/Laporan Keuangan Tahunan per 31 Des 2025.pdf | Server returned 403
2026-04-08 17:28:30,748 - ERROR - KONI | Surat_pengantar_LKT_per_31_Des_2025_-_BEI.pdf | https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan/Laporan Keuangan Tahun 2025/Audit/KONI/Surat pengantar LKT per 31 Des 2025 - BEI.pdf | Server returned 403
2026-04-08 17:28:31,557 - ERROR - NTBK | FinancialStatement-2025-Tahunan-NTBK.pdf | https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan/Laporan Keuangan Tahun 2025/Audit/NTBK/FinancialStatement-2025-Tahunan-NTBK.pdf | Server returned 403
2026-04-08 17:28:36,175 - ERROR - PSSI | FinancialStatement-2025-Tahunan-PSSI.xlsx | https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan/Laporan Keuangan Tahun 2025/Audit/PSSI/FinancialStatement-2025-Tahunan-PSSI.xlsx | Server returned 403
